query_name,file,id,timeFirst(ms),time(ms),resultCount,requestCount,timeOut
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C1.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,1,-1,361.127552,0,59,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C2.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,2,-1,53.52693,0,10,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C3.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,3,530.633759,2655.096798,2452,565,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F1.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,4,-1,28.148621,0,6,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F2.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,5,-1,30.145384,0,8,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F3.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,6,-1,52.197713,0,13,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F4.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,7,-1,60.639942,0,19,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F5.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,8,46.713888,108.665518,4,34,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L1.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,9,50.536363,155.3828,3,50,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L2.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,10,104.028897,107.655495,2,28,FALSE
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L3.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_100k,11,35.048711,124.289722,65,33,FALSE
