query_name,file,id,timeFirst(ms),time(ms),resultCount,requestCount,timeOut
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C1.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,1,-1,6034.738892,0,1295,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C2.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,2,-1,5131.307932,0,1583,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_C3.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,3,142.539532,29443.008141,40408,6111,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F1.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,4,101.471215,142.324733,2,44,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F2.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,5,93.429288,542.464672,3,185,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F3.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,6,-1,55.595157,0,13,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F4.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,7,199.019212,577.049606,6,149,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_F5.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,8,60.401304,492.725773,21,156,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L1.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,9,111.589115,201.527423,1,51,false
/home/brecht/Thesis/watdiv/watdiv/bin/Release/datasets/100k/gen_queries/gen_queries_10_L2.txt,/home/brecht/Thesis/test-scripts/simpleLDFBenchmarker_1M,10,41.928642,192.230065,2,53,false
